"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"gmt_KEGG","Galactose metabolism","ko00052","1","0","16","304","2","2279","659917035,659918267"
"gmt_KEGG","Fatty acid biosynthesis","ko00061","1","0","12","304","2","2279","659917204,659918841"
"gmt_KEGG","Arginine biosynthesis","ko00220","1","0","13","304","3","2279","659916956,659917086,659917936"
"gmt_KEGG","Purine metabolism","ko00230","1","0","68","304","12","2279","659916822,659916844,659916945,659917941,659917966,659918012,659918015,659918299,659918692,659918719,659918899,659919133"
"gmt_KEGG","Alanine, aspartate and glutamate metabolism","ko00250","1","0","25","304","6","2279","659916956,659917086,659917120,659917240,659917936,659918887"
"gmt_KEGG","Glycine, serine and threonine metabolism","ko00260","1","0","32","304","7","2279","659916834,659917492,659918414,659918492,659918588,659918925,659919141"
"gmt_KEGG","Cysteine and methionine metabolism","ko00270","1","0","29","304","6","2279","659916834,659916840,659916956,659917302,659917797,659918414"
"gmt_KEGG","Lysine biosynthesis","ko00300","1","0","16","304","5","2279","659916834,659917468,659917647,659918414,659919042"
"gmt_KEGG","Lysine degradation","ko00310","1","0","6","304","1","2279","659918413"
"gmt_KEGG","Arginine and proline metabolism","ko00330","1","0","11","304","2","2279","659916956,659919141"
"gmt_KEGG","Histidine metabolism","ko00340","1","0","16","304","2","2279","659918931,659919141"
"gmt_KEGG","Tyrosine metabolism","ko00350","1","0","9","304","3","2279","659916956,659918931,659919141"
"gmt_KEGG","Thiamine metabolism","ko00730","1","0","14","304","1","2279","659918323"
"gmt_KEGG","Tryptophan metabolism","ko00380","1","0","7","304","2","2279","659918413,659919141"
"gmt_KEGG","Novobiocin biosynthesis","ko00401","1","0","9","304","2","2279","659916956,659918931"
"gmt_KEGG","beta-Alanine metabolism","ko00410","1","0","7","304","1","2279","659918851"
"gmt_KEGG","Taurine and hypotaurine metabolism","ko00430","1","0","4","304","2","2279","659917888,659917928"
"gmt_KEGG","D-Glutamine and D-glutamate metabolism","ko00471","1","0","7","304","1","2279","659917212"
"gmt_KEGG","Starch and sucrose metabolism","ko00500","1","0","25","304","3","2279","659917035,659917415,659919151"
"gmt_KEGG","Amino sugar and nucleotide sugar metabolism","ko00520","1","0","31","304","6","2279","659917035,659917415,659917504,659918267,659919142,659919151"
"gmt_KEGG","Streptomycin biosynthesis","ko00521","1","0","8","304","3","2279","659917035,659918105,659918176"
"gmt_KEGG","Polyketide sugar unit biosynthesis","ko00523","1","0","2","304","1","2279","659918105"
"gmt_KEGG","Acarbose and validamycin biosynthesis","ko00525","1","0","1","304","1","2279","659918105"
"gmt_KEGG","Glycerolipid metabolism","ko00561","1","0","17","304","1","2279","659918258"
"gmt_KEGG","Inositol phosphate metabolism","ko00562","1","0","13","304","2","2279","659918176,659918851"
"gmt_KEGG","Glycerophospholipid metabolism","ko00564","1","0","19","304","3","2279","659918198,659918199,659918222"
"gmt_KEGG","Mismatch repair","ko03430","1","0","21","304","2","2279","659918899,659918937"
"gmt_KEGG","One carbon pool by folate","ko00670","1","0","14","304","1","2279","659919024"
"gmt_KEGG","Phenylalanine, tyrosine and tryptophan biosynthesis","ko00400","1","0","28","304","7","2279","659916956,659917025,659917150,659917307,659918588,659918931,659919142"
"gmt_KEGG","Homologous recombination","ko03440","1","0","28","304","2","2279","659918725,659918899"
